id;code;description;points;weight;calculated_value
1;0;новый оценка невозможна;0;100;0
2;1;оплата без просрочек;100;100;0
3;A;от 1 до 29 дней;-70;100;0
4;B;от 1 до 7 дней;0;100;0
5;C;от 8 до 29 дней;-70;100;0
6;2;от 30 до 59 дней;-100;100;0
7;3;от 60 до 89 дней;-200;100;0
8;4;от 90 до 119 дней;-300;100;0
9;5;просрочка от 120 дней;-300;100;0
10;7;реструктуризация/изменения/дополнения к договору займа (кредита);0;100;0
11;8;Погашение за счет обеспечения;0;100;0
12;9;Безнадёжный долг/ передано на взыскание;-350;100;0
13;Z;Льготный период;0;100;0
